timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:32:15.566, 0 %, 0 %, 29
2026/03/04 13:32:15.568, 0 %, 0 %, 31
2026/03/04 13:32:15.571, 0 %, 0 %, 27
2026/03/04 13:32:15.573, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:32:25.653, 0 %, 0 %, 41
2026/03/04 13:32:25.655, 0 %, 0 %, 33
2026/03/04 13:32:25.656, 0 %, 0 %, 35
2026/03/04 13:32:25.658, 0 %, 0 %, 35
2026/03/04 13:32:25.660, 0 %, 0 %, 29
2026/03/04 13:32:25.662, 0 %, 0 %, 31
2026/03/04 13:32:25.663, 0 %, 0 %, 27
2026/03/04 13:32:25.664, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:32:35.743, 0 %, 0 %, 41
2026/03/04 13:32:35.745, 0 %, 0 %, 33
2026/03/04 13:32:35.747, 0 %, 0 %, 35
2026/03/04 13:32:35.750, 0 %, 0 %, 35
2026/03/04 13:32:35.751, 0 %, 0 %, 29
2026/03/04 13:32:35.754, 0 %, 0 %, 31
2026/03/04 13:32:35.756, 0 %, 0 %, 27
2026/03/04 13:32:35.758, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:32:45.835, 0 %, 0 %, 41
2026/03/04 13:32:45.837, 0 %, 0 %, 33
2026/03/04 13:32:45.838, 0 %, 0 %, 35
2026/03/04 13:32:45.841, 0 %, 0 %, 35
2026/03/04 13:32:45.844, 0 %, 0 %, 29
2026/03/04 13:32:45.845, 0 %, 0 %, 31
2026/03/04 13:32:45.846, 0 %, 0 %, 27
2026/03/04 13:32:45.849, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:32:55.927, 0 %, 0 %, 41
2026/03/04 13:32:55.928, 0 %, 0 %, 33
2026/03/04 13:32:55.931, 0 %, 0 %, 35
2026/03/04 13:32:55.934, 0 %, 0 %, 35
2026/03/04 13:32:55.935, 0 %, 0 %, 29
2026/03/04 13:32:55.938, 0 %, 0 %, 31
2026/03/04 13:32:55.940, 0 %, 0 %, 27
2026/03/04 13:32:55.942, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:33:06.020, 0 %, 0 %, 41
2026/03/04 13:33:06.022, 0 %, 0 %, 33
2026/03/04 13:33:06.023, 0 %, 0 %, 35
2026/03/04 13:33:06.025, 0 %, 0 %, 35
2026/03/04 13:33:06.027, 0 %, 0 %, 29
2026/03/04 13:33:06.029, 0 %, 0 %, 31
2026/03/04 13:33:06.030, 0 %, 0 %, 27
2026/03/04 13:33:06.033, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:33:16.112, 0 %, 0 %, 41
2026/03/04 13:33:16.113, 0 %, 0 %, 33
2026/03/04 13:33:16.114, 0 %, 0 %, 35
2026/03/04 13:33:16.117, 0 %, 0 %, 35
2026/03/04 13:33:16.118, 0 %, 0 %, 29
2026/03/04 13:33:16.121, 0 %, 0 %, 31
2026/03/04 13:33:16.124, 0 %, 0 %, 27
2026/03/04 13:33:16.125, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:33:26.202, 0 %, 0 %, 41
2026/03/04 13:33:26.204, 0 %, 0 %, 33
2026/03/04 13:33:26.206, 0 %, 0 %, 35
2026/03/04 13:33:26.208, 0 %, 0 %, 35
2026/03/04 13:33:26.210, 0 %, 0 %, 29
2026/03/04 13:33:26.212, 0 %, 0 %, 31
2026/03/04 13:33:26.213, 0 %, 0 %, 27
2026/03/04 13:33:26.216, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:33:36.294, 0 %, 0 %, 41
2026/03/04 13:33:36.296, 0 %, 0 %, 33
2026/03/04 13:33:36.297, 0 %, 0 %, 35
2026/03/04 13:33:36.300, 0 %, 0 %, 35
2026/03/04 13:33:36.301, 0 %, 0 %, 29
2026/03/04 13:33:36.304, 0 %, 0 %, 31
2026/03/04 13:33:36.306, 0 %, 0 %, 27
2026/03/04 13:33:36.308, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:33:46.384, 0 %, 0 %, 41
2026/03/04 13:33:46.386, 0 %, 0 %, 33
2026/03/04 13:33:46.388, 0 %, 0 %, 35
2026/03/04 13:33:46.390, 0 %, 0 %, 35
2026/03/04 13:33:46.392, 0 %, 0 %, 29
2026/03/04 13:33:46.395, 0 %, 0 %, 31
2026/03/04 13:33:46.396, 0 %, 0 %, 27
2026/03/04 13:33:46.399, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:33:56.476, 0 %, 0 %, 41
2026/03/04 13:33:56.478, 0 %, 0 %, 33
2026/03/04 13:33:56.479, 0 %, 0 %, 36
2026/03/04 13:33:56.480, 0 %, 0 %, 35
2026/03/04 13:33:56.482, 0 %, 0 %, 29
2026/03/04 13:33:56.484, 0 %, 0 %, 31
2026/03/04 13:33:56.487, 0 %, 0 %, 27
2026/03/04 13:33:56.488, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:34:06.553, 0 %, 0 %, 41
2026/03/04 13:34:06.555, 0 %, 0 %, 33
2026/03/04 13:34:06.558, 0 %, 0 %, 36
2026/03/04 13:34:06.561, 0 %, 0 %, 35
2026/03/04 13:34:06.564, 0 %, 0 %, 29
2026/03/04 13:34:06.565, 0 %, 0 %, 31
2026/03/04 13:34:06.566, 0 %, 0 %, 27
2026/03/04 13:34:06.569, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:34:16.648, 0 %, 0 %, 41
2026/03/04 13:34:16.650, 0 %, 0 %, 33
2026/03/04 13:34:16.651, 0 %, 0 %, 35
2026/03/04 13:34:16.652, 0 %, 0 %, 35
2026/03/04 13:34:16.654, 0 %, 0 %, 29
2026/03/04 13:34:16.656, 0 %, 0 %, 31
2026/03/04 13:34:16.659, 0 %, 0 %, 27
2026/03/04 13:34:16.661, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:34:26.737, 0 %, 0 %, 41
2026/03/04 13:34:26.740, 0 %, 0 %, 33
2026/03/04 13:34:26.741, 0 %, 0 %, 35
2026/03/04 13:34:26.744, 0 %, 0 %, 35
2026/03/04 13:34:26.747, 0 %, 0 %, 29
2026/03/04 13:34:26.749, 0 %, 0 %, 31
2026/03/04 13:34:26.750, 0 %, 0 %, 27
2026/03/04 13:34:26.753, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:34:36.832, 0 %, 0 %, 41
2026/03/04 13:34:36.834, 0 %, 0 %, 33
2026/03/04 13:34:36.837, 0 %, 0 %, 35
2026/03/04 13:34:36.839, 0 %, 0 %, 35
2026/03/04 13:34:36.841, 0 %, 0 %, 29
2026/03/04 13:34:36.842, 0 %, 0 %, 31
2026/03/04 13:34:36.844, 0 %, 0 %, 27
2026/03/04 13:34:36.846, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:34:46.911, 0 %, 0 %, 41
2026/03/04 13:34:46.913, 0 %, 0 %, 33
2026/03/04 13:34:46.914, 0 %, 0 %, 35
2026/03/04 13:34:46.915, 0 %, 0 %, 35
2026/03/04 13:34:46.917, 0 %, 0 %, 29
2026/03/04 13:34:46.919, 0 %, 0 %, 31
2026/03/04 13:34:46.922, 0 %, 0 %, 27
2026/03/04 13:34:46.925, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:34:57.001, 0 %, 0 %, 41
2026/03/04 13:34:57.004, 0 %, 0 %, 33
2026/03/04 13:34:57.006, 0 %, 0 %, 36
2026/03/04 13:34:57.009, 0 %, 0 %, 35
2026/03/04 13:34:57.012, 0 %, 0 %, 29
2026/03/04 13:34:57.013, 0 %, 0 %, 31
2026/03/04 13:34:57.014, 0 %, 0 %, 27
2026/03/04 13:34:57.015, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:35:07.094, 0 %, 0 %, 41
2026/03/04 13:35:07.095, 0 %, 0 %, 33
2026/03/04 13:35:07.097, 0 %, 0 %, 36
2026/03/04 13:35:07.099, 0 %, 0 %, 35
2026/03/04 13:35:07.100, 0 %, 0 %, 29
2026/03/04 13:35:07.101, 0 %, 0 %, 31
2026/03/04 13:35:07.104, 0 %, 0 %, 27
2026/03/04 13:35:07.107, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:35:17.185, 0 %, 0 %, 41
2026/03/04 13:35:17.186, 0 %, 0 %, 33
2026/03/04 13:35:17.187, 0 %, 0 %, 35
2026/03/04 13:35:17.190, 0 %, 0 %, 35
2026/03/04 13:35:17.193, 0 %, 0 %, 29
2026/03/04 13:35:17.195, 0 %, 0 %, 31
2026/03/04 13:35:17.198, 0 %, 0 %, 27
2026/03/04 13:35:17.199, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:35:27.279, 0 %, 0 %, 41
2026/03/04 13:35:27.281, 0 %, 0 %, 33
2026/03/04 13:35:27.284, 0 %, 0 %, 35
2026/03/04 13:35:27.285, 0 %, 0 %, 35
2026/03/04 13:35:27.288, 0 %, 0 %, 29
2026/03/04 13:35:27.289, 0 %, 0 %, 31
2026/03/04 13:35:27.290, 0 %, 0 %, 27
2026/03/04 13:35:27.293, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:35:37.359, 0 %, 0 %, 41
2026/03/04 13:35:37.360, 0 %, 0 %, 33
2026/03/04 13:35:37.362, 0 %, 0 %, 35
2026/03/04 13:35:37.364, 0 %, 0 %, 35
2026/03/04 13:35:37.366, 0 %, 0 %, 29
2026/03/04 13:35:37.368, 0 %, 0 %, 31
2026/03/04 13:35:37.371, 0 %, 0 %, 27
2026/03/04 13:35:37.372, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:35:47.451, 0 %, 0 %, 41
2026/03/04 13:35:47.453, 0 %, 0 %, 33
2026/03/04 13:35:47.454, 0 %, 0 %, 35
2026/03/04 13:35:47.456, 0 %, 0 %, 35
2026/03/04 13:35:47.458, 0 %, 0 %, 29
2026/03/04 13:35:47.460, 0 %, 0 %, 31
2026/03/04 13:35:47.461, 0 %, 0 %, 27
2026/03/04 13:35:47.463, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:35:57.541, 0 %, 0 %, 41
2026/03/04 13:35:57.543, 0 %, 0 %, 33
2026/03/04 13:35:57.545, 0 %, 0 %, 35
2026/03/04 13:35:57.548, 0 %, 0 %, 35
2026/03/04 13:35:57.549, 0 %, 0 %, 29
2026/03/04 13:35:57.552, 0 %, 0 %, 31
2026/03/04 13:35:57.553, 0 %, 0 %, 27
2026/03/04 13:35:57.554, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:36:07.633, 0 %, 0 %, 41
2026/03/04 13:36:07.635, 0 %, 0 %, 33
2026/03/04 13:36:07.636, 0 %, 0 %, 35
2026/03/04 13:36:07.638, 0 %, 0 %, 35
2026/03/04 13:36:07.640, 0 %, 0 %, 29
2026/03/04 13:36:07.642, 0 %, 0 %, 31
2026/03/04 13:36:07.644, 0 %, 0 %, 27
2026/03/04 13:36:07.647, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:36:17.713, 0 %, 0 %, 41
2026/03/04 13:36:17.714, 0 %, 0 %, 33
2026/03/04 13:36:17.717, 0 %, 0 %, 35
2026/03/04 13:36:17.719, 0 %, 0 %, 35
2026/03/04 13:36:17.721, 0 %, 0 %, 29
2026/03/04 13:36:17.722, 0 %, 0 %, 31
2026/03/04 13:36:17.723, 0 %, 0 %, 27
2026/03/04 13:36:17.725, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:36:27.801, 0 %, 0 %, 41
2026/03/04 13:36:27.804, 0 %, 0 %, 33
2026/03/04 13:36:27.805, 0 %, 0 %, 35
2026/03/04 13:36:27.807, 0 %, 0 %, 35
2026/03/04 13:36:27.809, 0 %, 0 %, 29
2026/03/04 13:36:27.812, 0 %, 0 %, 31
2026/03/04 13:36:27.815, 0 %, 0 %, 27
2026/03/04 13:36:27.818, 0 %, 0 %, 28
timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2026/03/04 13:36:37.898, 0 %, 0 %, 41
2026/03/04 13:36:37.899, 0 %, 0 %, 33
